confidence,country,frost_risk,hard_violations,lat,lon,mean_temp_c,missing_features,point_id,rainfall_mm,score,soil_error,soil_ok,temp_std_c,weather_error,weather_ok
0.557,Belgium,0.046,"[""rainfall_mm""]",51.180747,2.525345,11.992,"[""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P010,2697.0,2.814,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,5.316,,True
0.557,Belgium,0.098,"[""rainfall_mm""]",51.020237,5.139128,11.941,"[""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P003,2801.1,2.541,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,6.372,,True
0.557,Belgium,0.045,"[""rainfall_mm""]",51.362795,2.839061,11.908,"[""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P004,2783.8,2.364,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,5.386,,True
0.557,Belgium,0.098,"[""rainfall_mm""]",49.458379,3.275467,11.839,"[""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P007,2809.1,1.995,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,6.125,,True
0.557,Belgium,0.093,"[""rainfall_mm""]",50.829746,4.625272,11.807,"[""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P008,2573.7,1.823,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,6.206,,True
