confidence,country,frost_risk,hard_violations,lat,lon,mean_temp_c,missing_features,point_id,rainfall_mm,score,soil_error,soil_ok,temp_std_c,weather_error,weather_ok
0.557,Romania,0.137,"[""rainfall_mm""]",44.102094,26.944821,13.782,"[""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P001,1846.1,10.38,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,9.041,,True
0.557,Romania,0.198,"[""rainfall_mm""]",45.024043,26.768638,13.333,"[""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P005,1723.0,0.712,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,9.259,,True
0.557,Romania,0.203,"[""rainfall_mm""]",46.664597,29.227383,12.378,"[""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P002,1618.3,0.0,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,9.306,,True
0.557,Romania,0.224,"[""rainfall_mm""]",44.874242,22.655445,10.754,"[""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P003,2585.5,0.0,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,8.497,,True
0.557,Romania,0.276,"[""rainfall_mm""]",47.050079,26.52112,10.446,"[""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P004,1899.8,0.0,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,8.879,,True
